2023-02-28 10:08:38.773 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 10:48:58.551 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 11:05:27.174 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 11:09:56.395 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 11:39:33.719 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 13:53:26.139 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 13:56:17.847 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 14:02:12.172 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 14:30:21.268 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 14:36:06.683 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 14:39:00.720 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 14:49:35.922 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 14:50:45.596 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 14:58:03.344 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 15:01:09.171 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 15:26:27.102 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-28 15:41:19.572 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
