2023-03-02 10:51:23.009 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 11:03:43.010 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 11:09:00.726 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 11:10:27.953 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 11:22:57.688 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 11:24:05.631 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 11:27:04.109 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 11:31:17.523 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 13:49:25.555 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 13:51:01.386 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 14:15:29.792 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 14:16:46.087 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 14:34:30.859 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 14:40:25.517 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 14:46:09.958 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 14:51:42.509 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 14:54:04.181 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 14:55:57.638 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 15:16:28.540 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-03-02 15:26:30.067 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
