2023-02-27 15:22:49.963 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 15:38:10.578 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 17:37:11.644 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 17:41:43.044 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 17:43:15.438 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 17:43:52.174 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 17:45:50.681 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 17:47:11.147 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 17:49:09.488 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 17:54:07.993 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 17:58:40.500 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
2023-02-27 18:18:13.851 [main] DEBUG com.demo.api.ApiApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
